"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1900168179508510824","Fri Mar 14 17:34:27 +0000 2025","0","@kdrama_menfess list orang yg cocok nangkep ksh 1. Kang Bitna 2. Kim Ji Yong 3. Kim Do Gi 4. Han Young Soo","1900601433755676748","","kdrama_menfess","in","","0","0","0","https://x.com/aravkjk/status/1900601433755676748","1866737607432081410","aravkjk"
"1900596687653224457","Fri Mar 14 17:15:36 +0000 2025","1","Garosero dpat message pnjang dr Ibu KSR gga jdi ksih bukti krn keadaan Kim Soo Hyun gmn mnurut klian? diancam? mau ngsih pljaran KSH plan2? Mental KSH? Selesai Scra kekluargaan? #KimSooHyun #KimSaeron https://t.co/dengemnNDq","1900596687653224457","https://pbs.twimg.com/amplify_video_thumb/1900596204372692993/img/C81xxCO_EsWOEd2y.jpg","","in","","0","0","0","https://x.com/emputput/status/1900596687653224457","56998981","emputput"
"1900501492240630262","Fri Mar 14 17:13:27 +0000 2025","0","@JusAlpukat69 ksh = kim soo hyun","1900596145703059469","","JusAlpukat69","in","","0","0","0","https://x.com/macronutrients_/status/1900596145703059469","1132707980149846016","macronutrients_"
"1900592961286799789","Fri Mar 14 17:12:27 +0000 2025","591","@tang__kira LEE JINHO bener bener yee nyawa anak orang loee ini!!! Intinya Kematian Kim Saeron disebabkan 3 hal: 1. serangan dari netizen mau itu Knetzz atau inter fans 2. Berita Hoax dari Youtuber Lee Jinho 3. Tekanan dari KSH yang meminta ganti rugi Bahagia disana ya saeron","1900595896443957700","","tang__kira","in","","1","7","52","https://x.com/Eonnieee27/status/1900595896443957700","1342025285441503232","Eonnieee27"
"1900595778248470756","Fri Mar 14 17:12:01 +0000 2025","0","Drama ini mengisahkan Kim Soo-hyun (Lee Bo-young) seorang ibu yang putrinya Han Saet-byul (Kim Yoo-bin) diculik dan dibunuh oleh seorang pembunuh berantai. Tapi tiba-tiba keajaiban terjadi dia dikasih kesempatan buat kembali ke 14 hari sebelum kejadian tragis itu terjadi.","1900595785273929763","","marigolmd","in","","0","1","0","https://x.com/marigolmd/status/1900595785273929763","2881400671","marigolmd"
"1900592961286799789","Fri Mar 14 17:03:59 +0000 2025","15","@tang__kira Semangat buat mamanya kim saeron sekarang nama baik putri mu sudah mulai kembali semoga youtuber yang jahat itu mendapatkan hukuman yg setimpal!!! &amp; KSH juga mendapatkan hukuman yang sama!!! RIP KIM SAERON BAHAGIA DISANA CANTIK SEMUA DISINI MENDOAKAN MU ","1900593763988455923","","tang__kira","in","","0","0","0","https://x.com/Eonnieee27/status/1900593763988455923","1342025285441503232","Eonnieee27"
"1900586697861329255","Fri Mar 14 16:38:22 +0000 2025","3","Mungkin karena dugaan mengenai masalah rumor seputar Kim Soo-hyun dan Kim Sae Ron itu menyebabkan Yu Shuxin berhenti mengikuti Kim Soo-hyun di Instagram. (Saat ini lebih dari 59 juta orang sedang mendiskusikan topik ini di Weibo. ) +","1900587319444598885","","thvjungkook57_","in","","0","1","0","https://x.com/thvjungkook57_/status/1900587319444598885","1653319187039936513","thvjungkook57_"
"1900586697861329255","Fri Mar 14 16:35:54 +0000 2025","14"," Trending di Weibo #YuShuxin secara resmi berhenti mengikuti #KimSoohyun di Instagram. Diketahui bahwa Yu Shuxin adalah penggemar berat Kim Soo-hyun dan telah menyatakan berkali-kali bahwa KSH adalah artis pria yang paling ingin dia ajak kolaborasi. + https://t.co/sXfEJMokoq","1900586697861329255","https://pbs.twimg.com/media/GmA9hx8awAAZWYI.jpg","","in","","0","2","2","https://x.com/thvjungkook57_/status/1900586697861329255","1653319187039936513","thvjungkook57_"
"1900586664537584094","Fri Mar 14 16:35:46 +0000 2025","4","Lee Jinho dan Kim Soohyun /agencynya ada hubungannya. Media play LJH ada campur tangan Gold Medalist. Jd ya ga bsa dihindarin utk gk dihubungkan dgn KSH Trs krna beritanya mention seleb terkenal malahan membantu bgt target pertisi terpenuhi. 50k signs sdh terpenuhi sejak kemarin https://t.co/tZCfYN34Wg","1900586664537584094","https://pbs.twimg.com/media/GmA9fUPbAAAkPfk.jpg","","in","","0","1","1","https://x.com/urtwlve/status/1900586664537584094","1803863603554193410","urtwlve"
"1900586473264738608","Fri Mar 14 16:35:01 +0000 2025","0","KSH yg baik adalah Kim Seon Ho my sweety dimple boy ","1900586473264738608","","","in","","0","0","0","https://x.com/langitbiruuww/status/1900586473264738608","1114019304314290177","langitbiruuww"
